Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Agincourt,Latin American Restaurant,Badminton Court,Breakfast Spot,Newsagent,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Yoga Studio
"Alderwood, Long Branch",Convenience Store,Pizza Place,Coffee Shop,Pharmacy,Pub,Gym,Event Space,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
"Bathurst Manor, Wilson Heights, Downsview North",Other Repair Shop,Grocery Store,Pizza Place,Mediterranean Restaurant,Middle Eastern Restaurant,Deli / Bodega,Fried Chicken Joint,Coffee Shop,Electronics Store,Ethiopian Restaurant
Bayview Village,Flower Shop,Park,Trail,Gas Station,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Donut Shop
"Bedford Park, Lawrence Manor East",Coffee Shop,Sandwich Place,Italian Restaurant,Pizza Place,Greek Restaurant,Restaurant,Pub,Boutique,Juice Bar,Thai Restaurant
Berczy Park,Coffee Shop,Hotel,Seafood Restaurant,Bakery,Café,Restaurant,Cocktail Bar,Japanese Restaurant,Beer Bar,Farmers Market
"Birch Cliff, Cliffside West",Skating Rink,General Entertainment,Café,College Stadium,Yoga Studio,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
"Brockton, Parkdale Village, Exhibition Place",Café,Coffee Shop,Gift Shop,Thrift / Vintage Store,Breakfast Spot,Beach Bar,Supermarket,Boutique,Brewery,French Restaurant
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",Restaurant,Italian Restaurant,Coffee Shop,Martial Arts School,Breakfast Spot,Bookstore,Sushi Restaurant,Bank,Japanese Restaurant,Yoga Studio
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",Coffee Shop,Bar,Café,Italian Restaurant,Bakery,Speakeasy,Park,Restaurant,Bank,Gym / Fitness Center
Caledonia-Fairbanks,Park,Sporting Goods Shop,Beer Store,Gym,Bakery,Mexican Restaurant,Women's Store,Curling Ice,Flower Shop,Flea Market
Canada Post Gateway Processing Centre,Coffee Shop,Hotel,Gym,Sandwich Place,Middle Eastern Restaurant,Burrito Place,Mediterranean Restaurant,Fried Chicken Joint,Food Truck,American Restaurant
Cedarbrae,Lounge,Trail,Gaming Cafe,Yoga Studio,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant
Central Bay Street,Coffee Shop,Bubble Tea Shop,Middle Eastern Restaurant,Sandwich Place,Café,Italian Restaurant,Restaurant,Pizza Place,Clothing Store,Juice Bar
Christie,Café,Grocery Store,Athletics & Sports,Playground,Coffee Shop,Baby Store,Park,Candy Store,Electronics Store,Ethiopian Restaurant
Church and Wellesley,Japanese Restaurant,Coffee Shop,Sushi Restaurant,Restaurant,Fast Food Restaurant,Gay Bar,Café,Mediterranean Restaurant,Hotel,Men's Store
"Clarks Corners, Tam O'Shanter, Sullivan",Pizza Place,Italian Restaurant,Fast Food Restaurant,Fried Chicken Joint,Shopping Mall,Gas Station,Chinese Restaurant,Thai Restaurant,Bank,Convenience Store
"Cliffside, Cliffcrest, Scarborough Village West",Ice Cream Shop,Bistro,Discount Store,Bank,Coffee Shop,Sandwich Place,Pharmacy,Pizza Place,Fish & Chips Shop,Field
"Commerce Court, Victoria Hotel",Coffee Shop,Hotel,Café,Restaurant,Gym,Steakhouse,Salad Place,Asian Restaurant,Seafood Restaurant,Japanese Restaurant
Davisville,Italian Restaurant,Café,Coffee Shop,Dessert Shop,Toy / Game Store,Sandwich Place,Thai Restaurant,Restaurant,Sushi Restaurant,Diner
Davisville North,Dog Run,Convenience Store,Department Store,Breakfast Spot,Bus Line,Park,Food & Drink Shop,Deli / Bodega,Dance Studio,Creperie
"Del Ray, Mount Dennis, Keelsdale and Silverthorn",Fast Food Restaurant,ATM,Coffee Shop,Donut Shop,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Farmers Market
Don Mills,Gym,Park,Pool,River,Trail,Furniture / Home Store,Yoga Studio,Donut Shop,Dumpling Restaurant,Eastern European Restaurant
"Dorset Park, Wexford Heights, Scarborough Town Centre",Asian Restaurant,Bakery,Yoga Studio,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant
Downsview,Grocery Store,Pizza Place,Discount Store,Coffee Shop,Shopping Mall,Home Service,Beer Store,Fried Chicken Joint,Liquor Store,Food Court
"Dufferin, Dovercourt Village",Grocery Store,Park,Bakery,Gym,Furniture / Home Store,Smoke Shop,Bank,Liquor Store,Café,Pharmacy
